mode,size_bytes,size_kb,N,avg_total_ns,ns_per_iter
sequential,95232,93,23808,1842.8571,0.0774
random,95232,93,23808,707114.2857,29.7007
random_index,95232,93,23808,12314.2857,0.5172
sequential,96256,94,24064,2014.2857,0.0837
random,96256,94,24064,710142.8571,29.5106
random_index,96256,94,24064,12442.8571,0.5171
sequential,97280,95,24320,3185.7143,0.1310
random,97280,95,24320,767371.4286,31.5531
random_index,97280,95,24320,12600.0000,0.5181
sequential,98304,96,24576,1914.2857,0.0779
random,98304,96,24576,724657.1429,29.4864
random_index,98304,96,24576,12800.0000,0.5208
sequential,99328,97,24832,2000.0000,0.0805
random,99328,97,24832,786842.8571,31.6866
random_index,99328,97,24832,13042.8571,0.5252
sequential,100352,98,25088,2185.7143,0.0871
random,100352,98,25088,739471.4286,29.4751
random_index,100352,98,25088,13085.7143,0.5216
sequential,101376,99,25344,1971.4286,0.0778
random,101376,99,25344,754257.1429,29.7608
random_index,101376,99,25344,14400.0000,0.5682
sequential,102400,100,25600,2800.0000,0.1094
random,102400,100,25600,754828.5714,29.4855
random_index,102400,100,25600,14428.5714,0.5636
sequential,103424,101,25856,2014.2857,0.0779
random,103424,101,25856,767057.1429,29.6665
random_index,103424,101,25856,12114.2857,0.4685
sequential,104448,102,26112,2257.1429,0.0864
random,104448,102,26112,816785.7143,31.2801
random_index,104448,102,26112,13728.5714,0.5258
sequential,105472,103,26368,2242.8571,0.0851
random,105472,103,26368,794528.5714,30.1323
random_index,105472,103,26368,14914.2857,0.5656
sequential,106496,104,26624,2342.8571,0.0880
random,106496,104,26624,796042.8571,29.8994
random_index,106496,104,26624,13814.2857,0.5189
sequential,107520,105,26880,2085.7143,0.0776
random,107520,105,26880,854642.8571,31.7947
random_index,107520,105,26880,14171.4286,0.5272
sequential,108544,106,27136,2342.8571,0.0863
random,108544,106,27136,798814.2857,29.4374
random_index,108544,106,27136,14300.0000,0.5270
sequential,109568,107,27392,2128.5714,0.0777
random,109568,107,27392,821042.8571,29.9738
random_index,109568,107,27392,14528.5714,0.5304
sequential,110592,108,27648,2142.8571,0.0775
random,110592,108,27648,814128.5714,29.4462
random_index,110592,108,27648,14657.1429,0.5301
sequential,111616,109,27904,2185.7143,0.0783
random,111616,109,27904,825857.1429,29.5964
random_index,111616,109,27904,14828.5714,0.5314
sequential,112640,110,28160,2357.1429,0.0837
random,112640,110,28160,905028.5714,32.1388
random_index,112640,110,28160,14914.2857,0.5296
sequential,113664,111,28416,2285.7143,0.0804
random,113664,111,28416,841142.8571,29.6010
random_index,113664,111,28416,15657.1429,0.5510
sequential,114688,112,28672,2514.2857,0.0877
random,114688,112,28672,867928.5714,30.2709
random_index,114688,112,28672,15300.0000,0.5336
sequential,115712,113,28928,2314.2857,0.0800
random,115712,113,28928,855800.0000,29.5838
random_index,115712,113,28928,15371.4286,0.5314
sequential,116736,114,29184,2257.1429,0.0773
random,116736,114,29184,864842.8571,29.6341
random_index,116736,114,29184,12814.2857,0.4391
sequential,117760,115,29440,2228.5714,0.0757
random,117760,115,29440,867242.8571,29.4580
random_index,117760,115,29440,15714.2857,0.5338
sequential,118784,116,29696,2314.2857,0.0779
random,118784,116,29696,878371.4286,29.5788
random_index,118784,116,29696,17314.2857,0.5831
sequential,119808,117,29952,3671.4286,0.1226
random,119808,117,29952,881928.5714,29.4447
random_index,119808,117,29952,16028.5714,0.5351
sequential,120832,118,30208,2342.8571,0.0776
random,120832,118,30208,905185.7143,29.9651
random_index,120832,118,30208,16271.4286,0.5386
sequential,121856,119,30464,2371.4286,0.0778
random,121856,119,30464,901385.7143,29.5886
random_index,121856,119,30464,16414.2857,0.5388
sequential,122880,120,30720,2414.2857,0.0786
random,122880,120,30720,903214.2857,29.4015
random_index,122880,120,30720,16557.1429,0.5390
sequential,123904,121,30976,2414.2857,0.0779
random,123904,121,30976,980271.4286,31.6462
random_index,123904,121,30976,16271.4286,0.5253
sequential,124928,122,31232,2757.1429,0.0883
random,124928,122,31232,918757.1429,29.4172
random_index,124928,122,31232,16857.1429,0.5397
sequential,125952,123,31488,2457.1429,0.0780
random,125952,123,31488,932114.2857,29.6022
random_index,125952,123,31488,16957.1429,0.5385
sequential,126976,124,31744,2842.8571,0.0896
random,126976,124,31744,935628.5714,29.4742
random_index,126976,124,31744,17228.5714,0.5427
sequential,128000,125,32000,3314.2857,0.1036
random,128000,125,32000,943228.5714,29.4759
random_index,128000,125,32000,17271.4286,0.5397
sequential,129024,126,32256,2528.5714,0.0784
random,129024,126,32256,994885.7143,30.8434
random_index,129024,126,32256,17442.8571,0.5408
sequential,130048,127,32512,2528.5714,0.0778
random,130048,127,32512,962900.0000,29.6168
random_index,130048,127,32512,18957.1429,0.5831
sequential,131072,128,32768,2628.5714,0.0802
random,131072,128,32768,1145600.0000,34.9609
random_index,131072,128,32768,14900.0000,0.4547
sequential,132096,129,33024,2571.4286,0.0779
random,132096,129,33024,966685.7143,29.2722
random_index,132096,129,33024,15000.0000,0.4542
sequential,133120,130,33280,2614.2857,0.0786
