mode,size_bytes,size_kb,size_mb,elements,total_ns,ns_per_iter
random_index,105472,103.000000,0.100586,26368,45100,1.710407
sequential,106496,104.000000,0.101562,26624,28800,1.081731
random,106496,104.000000,0.101562,26624,939000,35.268930
random_index,106496,104.000000,0.101562,26624,29600,1.111779
sequential,107520,105.000000,0.102539,26880,30400,1.130952
random,107520,105.000000,0.102539,26880,918900,34.185268
random_index,107520,105.000000,0.102539,26880,24900,0.926339
sequential,108544,106.000000,0.103516,27136,28200,1.039210
random,108544,106.000000,0.103516,27136,929100,34.238650
random_index,108544,106.000000,0.103516,27136,41200,1.518278
sequential,109568,107.000000,0.104492,27392,29800,1.087909
random,109568,107.000000,0.104492,27392,946700,34.561186
random_index,109568,107.000000,0.104492,27392,49200,1.796145
sequential,110592,108.000000,0.105469,27648,26500,0.958478
random,110592,108.000000,0.105469,27648,949900,34.356916
random_index,110592,108.000000,0.105469,27648,38800,1.403356
sequential,111616,109.000000,0.106445,27904,30800,1.103784
random,111616,109.000000,0.106445,27904,953300,34.163561
random_index,111616,109.000000,0.106445,27904,26800,0.960436
sequential,112640,110.000000,0.107422,28160,30600,1.086648
random,112640,110.000000,0.107422,28160,1000700,35.536222
random_index,112640,110.000000,0.107422,28160,35500,1.260653
sequential,113664,111.000000,0.108398,28416,16400,0.577140
random,113664,111.000000,0.108398,28416,975500,34.329251
random_index,113664,111.000000,0.108398,28416,26200,0.922016
sequential,114688,112.000000,0.109375,28672,30500,1.063756
random,114688,112.000000,0.109375,28672,1009600,35.212054
random_index,114688,112.000000,0.109375,28672,30400,1.060268
sequential,115712,113.000000,0.110352,28928,32100,1.109652
random,115712,113.000000,0.110352,28928,992000,34.292035
random_index,115712,113.000000,0.110352,28928,27200,0.940265
sequential,116736,114.000000,0.111328,29184,16900,0.579084
random,116736,114.000000,0.111328,29184,997500,34.179688
random_index,116736,114.000000,0.111328,29184,26900,0.921738
sequential,117760,115.000000,0.112305,29440,17000,0.577446
random,117760,115.000000,0.112305,29440,1006400,34.184783
